#x	y
32	77
45	108
64	268
90	287
128	326
181	344
256	436
362	457
512	499
724	524
1024	544
1448	671
2048	693
2896	717
4096	781
5792	826
8192	871
11585	979
16384	1039
23170	1116
32768	1306
46340	1618
65536	1901
92681	2536
131072	3348
185363	4815
262144	6435
370727	8818
524288	18392
741455	28414
1048576	988865
1482910	1038772
2097152	3461709
2965820	3560520
4194304	8820142
5931641	9290931
8388608	17173079
11863283	17900751
16777216	29998556
23726566	32757376
33554432	48406463
47453132	61130241
67108864	77346443
94906265	90488329
134217728	111150376
189812531	132342611
268435456	163671853
