#x	y
32	86
45	160
64	237
90	301
128	383
181	470
256	535
362	596
512	645
724	706
1024	777
1448	846
2048	911
2896	973
4096	1039
5792	1108
8192	1174
11585	1254
16384	1331
23170	1400
32768	1472
46340	1538
65536	1607
92681	1683
131072	1762
185363	1849
262144	1934
370727	2023
524288	2119
741455	2227
1048576	2333
1482910	2451
2097152	2579
2965820	2692
4194304	2830
5931641	2977
8388608	3134
11863283	3281
16777216	3439
23726566	3611
33554432	3790
47453132	4003
67108864	4284
94906265	4619
134217728	5100
189812531	5529
268435456	6115
