#x	y
32	69
45	110
64	170
90	195
128	225
181	250
256	300
362	338
512	369
724	422
1024	462
1448	493
2048	533
2896	593
4096	658
5792	703
8192	801
11585	885
16384	1001
23170	1136
32768	1347
46340	1726
65536	2190
92681	2904
131072	4044
185363	5989
262144	10145
370727	17524
524288	80962
741455	98674
1048576	323520
1482910	371510
2097152	654403
2965820	755175
4194304	1076713
5931641	1296836
8388608	1958951
11863283	2570848
16777216	3520432
23726566	4640588
33554432	6134452
47453132	8204349
67108864	10856741
94906265	14467114
134217728	19645564
189812531	26817239
268435456	36940284
